@relation art_training_set
@attribute 'd0' numeric
@attribute 'd1' numeric
@attribute 'd2' numeric
@attribute 'd3' numeric
@attribute 'd4' numeric
@attribute 'd5' numeric
@attribute 'd6' numeric
@attribute 'd7' numeric
@attribute 'd8' numeric
@attribute 'd9' numeric
@attribute 'd10' numeric
@attribute 'd11' numeric
@attribute 'd12' numeric
@attribute 'd13' numeric
@attribute 'd14' numeric
@attribute 'd15' numeric
@attribute 'd16' numeric
@attribute 'd17' numeric
@attribute 'd18' numeric
@attribute 'd19' numeric
@attribute 'd20' numeric
@attribute 'd21' numeric
@attribute 'd22' numeric
@attribute 'd23' numeric
@attribute 'd24' numeric
@attribute 'd25' numeric
@attribute 'd26' numeric
@attribute 'd27' numeric
@attribute 'd28' numeric
@attribute 'd29' numeric
@attribute 'd30' numeric
@attribute 'd31' numeric
@attribute 'd32' numeric
@attribute 'd33' numeric
@attribute 'd34' numeric
@attribute 'd35' numeric
@attribute 'd36' numeric
@attribute 'd37' numeric
@attribute 'd38' numeric
@attribute 'd39' numeric
@attribute 'd40' numeric
@attribute 'd41' numeric
@attribute 'd42' numeric
@attribute 'd43' numeric
@attribute 'd44' numeric
@attribute 'd45' numeric
@attribute 'd46' numeric
@attribute 'd47' numeric
@attribute 'd48' numeric
@attribute 'd49' numeric
@attribute 'd50' numeric
@attribute 'd51' numeric
@attribute 'd52' numeric
@attribute 'd53' numeric
@attribute 'd54' numeric
@attribute 'd55' numeric
@attribute 'd56' numeric
@attribute 'd57' numeric
@attribute 'd58' numeric
@attribute 'd59' numeric
@attribute 'd60' numeric
@attribute 'd61' numeric
@attribute 'd62' numeric
@attribute 'd63' numeric
@attribute 'd64' numeric
@attribute 'd65' numeric
@attribute 'd66' numeric
@attribute 'd67' numeric
@attribute 'd68' numeric
@attribute 'd69' numeric
@attribute 'd70' numeric
@attribute 'd71' numeric
@attribute 'd72' numeric
@attribute 'd73' numeric
@attribute 'd74' numeric
@attribute 'd75' numeric
@attribute 'd76' numeric
@attribute 'd77' numeric
@attribute 'd78' numeric
@attribute 'd79' numeric
@attribute 'd80' numeric
@attribute 'd81' numeric
@attribute 'd82' numeric
@attribute 'd83' numeric
@attribute 'd84' numeric
@attribute 'd85' numeric
@attribute 'd86' numeric
@attribute 'd87' numeric
@attribute 'd88' numeric
@attribute 'd89' numeric
@attribute 'd90' numeric
@attribute 'd91' numeric
@attribute 'd92' numeric
@attribute 'd93' numeric
@attribute 'd94' numeric
@attribute 'd95' numeric
@attribute 'd96' numeric
@attribute 'd97' numeric
@attribute 'd98' numeric
@attribute 'd99' numeric
@attribute 'd100' numeric
@attribute 'd101' numeric
@attribute 'd102' numeric
@attribute 'd103' numeric
@attribute 'd104' numeric
@attribute 'd105' numeric
@attribute 'd106' numeric
@attribute 'd107' numeric
@attribute 'evaluation' { liked, disliked }
@data
0.058861,0.039983,0.009792,0.002245,0.078324,0.027079,0.00405,0.001429,0.093481,0.014546,0.001653,0.001201,0.021274,0.041111,0.036733,0.011763,0.040046,0.04616,0.020957,0.003718,0.064337,0.035524,0.009538,0.001482,0.070566,0.020645,0.012347,0.007324,0.080435,0.016391,0.012291,0.001765,0.090834,0.011157,0.008271,6.2E-4,0.027869,0.049549,0.026827,0.006637,0.049364,0.041959,0.015205,0.004353,0.068925,0.027416,0.011777,0.002763,0.046895,0.044225,0.019525,2.36E-4,0.050301,0.048399,0.012045,1.36E-4,0.059298,0.039728,0.011643,2.12E-4,0.003399,0.026257,0.077239,0.003985,0.004047,0.032945,0.069855,0.004034,0.006333,0.044194,0.053112,0.007242,0.037748,0.046299,0.02213,0.004704,0.058362,0.041085,0.009221,0.002213,0.082422,0.023595,0.003871,9.94E-4,0.049215,0.040266,0.013399,0.008001,0.060688,0.035612,0.007738,0.006842,0.07696,0.021232,0.006234,0.006455,0.022076,0.031384,0.047263,0.010159,0.024853,0.043452,0.036095,0.006482,0.034647,0.040923,0.029645,0.005666,disliked
0.076068,0.02946,0.004733,6.62E-4,0.09608,0.01306,0.001518,2.64E-4,0.101321,0.008444,9.53E-4,2.04E-4,0.021916,0.044361,0.031905,0.01274,0.04296,0.043877,0.015708,0.008377,0.059921,0.034265,0.009562,0.007173,0.072957,0.021607,0.008811,0.007546,0.086786,0.013679,0.004467,0.005989,0.093264,0.008781,0.003686,0.005191,0.023085,0.040857,0.032357,0.014623,0.047039,0.039279,0.017874,0.006729,0.06375,0.031487,0.011833,0.003851,0.088727,0.020886,9.98E-4,3.1E-4,0.105056,0.005382,3.73E-4,1.11E-4,0.107387,0.003109,3.48E-4,7.8E-5,0.02397,0.065975,0.019756,0.00122,0.059315,0.047647,0.003616,3.44E-4,0.072047,0.035899,0.002661,3.15E-4,0.075175,0.026918,0.007655,0.001174,0.089251,0.017468,0.003578,6.25E-4,0.095577,0.012654,0.002273,4.17E-4,0.071538,0.022078,0.011752,0.005554,0.081271,0.017192,0.008209,0.004249,0.085355,0.014722,0.007042,0.003803,0.070253,0.037819,0.002718,1.32E-4,0.084333,0.024309,0.002089,1.91E-4,0.07949,0.024609,0.006214,6.09E-4,disliked
0.020374,0.026261,0.037504,0.02664,0.027309,0.031056,0.033383,0.01903,0.028599,0.036061,0.027435,0.018684,0.005057,0.038799,0.053921,0.013002,0.022456,0.051763,0.030436,0.006124,0.028478,0.055912,0.021928,0.004461,0.012599,0.028322,0.032149,0.03771,0.017456,0.030989,0.034616,0.027718,0.01978,0.033937,0.034813,0.022248,0.003181,0.016642,0.036471,0.054486,0.009016,0.024417,0.036067,0.041279,0.017022,0.022781,0.040364,0.030613,0.023336,0.036379,0.028263,0.022801,0.033097,0.03413,0.024923,0.018628,0.035847,0.035472,0.025872,0.013589,0.021144,0.028841,0.033516,0.027277,0.035244,0.023993,0.02994,0.021602,0.043485,0.01782,0.029644,0.01983,0.017337,0.029699,0.038547,0.025197,0.028133,0.032084,0.034249,0.016314,0.0292,0.037794,0.028394,0.015391,0.017989,0.029691,0.027881,0.035217,0.024998,0.033333,0.027559,0.024889,0.027517,0.037839,0.026536,0.018886,0.026883,0.032579,0.024706,0.026612,0.03868,0.025158,0.023923,0.023019,0.040767,0.027401,0.020875,0.021736,liked
9.56E-4,0.047089,0.056311,0.006633,0.001602,0.052824,0.051121,0.005442,0.008694,0.07397,0.024731,0.003594,0.009791,0.042476,0.040921,0.0178,0.020247,0.040467,0.03884,0.011435,0.036383,0.048636,0.024937,0.001033,0.005682,0.03367,0.056065,0.015572,0.008332,0.051399,0.043118,0.00814,0.014783,0.064678,0.028398,0.00313,0.024532,0.028834,0.054316,0.003307,0.026162,0.032601,0.050882,0.001345,0.030943,0.051785,0.02705,0.001211,0.004432,0.015724,0.060419,0.030414,0.00505,0.02665,0.0595,0.019788,0.005536,0.046441,0.049394,0.009617,0.01153,0.044814,0.04475,0.009895,0.012855,0.045695,0.044782,0.007657,0.011525,0.051026,0.041355,0.007083,0.001006,0.020336,0.070493,0.019154,0.001816,0.033853,0.061133,0.014186,0.005576,0.057713,0.034843,0.012857,0.001288,0.012942,0.081702,0.015057,0.001433,0.019204,0.083435,0.006917,0.002946,0.048412,0.057639,0.001991,4.09E-4,0.004118,0.071564,0.034897,5.04E-4,0.006318,0.068787,0.03538,0.001141,0.027723,0.061156,0.020968,disliked
0.052806,0.042507,0.013822,0.00178,0.064392,0.035729,0.00977,0.001024,0.093326,0.016052,0.00151,2.7E-5,0.037826,0.041345,0.02347,0.008274,0.054849,0.036904,0.015383,0.00378,0.080285,0.019313,0.00878,0.002537,0.034759,0.045414,0.025078,0.005665,0.05537,0.040658,0.011435,0.003452,0.088367,0.015681,0.004684,0.002184,0.008197,0.040215,0.046968,0.015535,0.018248,0.057451,0.026244,0.008972,0.054726,0.040422,0.009284,0.006484,0.065457,0.026343,0.012633,0.006482,0.076879,0.021736,0.007181,0.00512,0.09038,0.012095,0.004101,0.00434,0.013851,0.029075,0.035599,0.032389,0.024867,0.033792,0.033113,0.019143,0.042021,0.034908,0.023612,0.010374,0.044732,0.049637,0.014142,0.002404,0.057127,0.043434,0.008816,0.001539,0.086836,0.020736,0.00321,1.33E-4,0.028834,0.045054,0.027145,0.009883,0.046544,0.042785,0.014768,0.006819,0.075824,0.021846,0.008469,0.004777,0.050582,0.031789,0.018348,0.010197,0.060531,0.029665,0.013264,0.007455,0.071575,0.022949,0.010507,0.005885,liked
0.007604,0.032855,0.057198,0.013454,0.014822,0.049589,0.038039,0.008661,0.028734,0.047435,0.027313,0.00763,0.006861,0.030877,0.065849,0.007524,0.015038,0.063855,0.029745,0.002473,0.027144,0.06191,0.019841,0.002216,0.0062,0.032009,0.046816,0.026086,0.019563,0.042542,0.034801,0.014206,0.035051,0.04113,0.027223,0.007707,0.009468,0.03039,0.038298,0.032955,0.015946,0.041554,0.032592,0.021019,0.028009,0.044066,0.025907,0.013129,0.010026,0.030497,0.035637,0.034952,0.019177,0.036786,0.031327,0.023821,0.037254,0.029778,0.029583,0.014496,0.006593,0.020555,0.032155,0.051808,0.01806,0.026666,0.024792,0.041593,0.030106,0.022782,0.025984,0.032239,0.005776,0.038532,0.057899,0.008904,0.01554,0.05562,0.035365,0.004586,0.030417,0.05301,0.024456,0.003228,0.010607,0.030371,0.042673,0.027459,0.02386,0.038878,0.035722,0.012652,0.039048,0.039534,0.026765,0.005765,0.012496,0.023775,0.045115,0.029726,0.027677,0.03312,0.029441,0.020873,0.041663,0.028347,0.024897,0.016203,liked
0.013108,0.03219,0.04432,0.021493,0.020963,0.048019,0.030628,0.011502,0.04307,0.04193,0.019665,0.006447,0.007886,0.022458,0.044535,0.036232,0.012453,0.041226,0.036588,0.020844,0.030957,0.043787,0.023208,0.013159,0.007392,0.014217,0.035557,0.053945,0.010509,0.028141,0.030889,0.041572,0.020846,0.033038,0.020503,0.036725,0.007974,0.013499,0.032368,0.057271,0.009977,0.02637,0.032415,0.042349,0.0196,0.032925,0.025129,0.033457,0.034496,0.046551,0.024734,0.005331,0.035038,0.046848,0.024118,0.005106,0.034198,0.042096,0.030059,0.004758,0.030115,0.02338,0.039603,0.018013,0.031197,0.025495,0.041559,0.01286,0.028685,0.03019,0.042681,0.009555,0.005165,0.019258,0.048115,0.038573,0.007158,0.036084,0.043204,0.024664,0.025231,0.04477,0.027175,0.013935,0.004738,0.01706,0.036831,0.052482,0.006118,0.033119,0.035396,0.036478,0.023508,0.038225,0.026206,0.023172,0.066352,0.012406,0.019064,0.013289,0.068717,0.013421,0.022821,0.006152,0.071579,0.0192,0.019587,7.45E-4,disliked
0.037182,0.03678,0.026829,0.009933,0.048595,0.035849,0.020022,0.006257,0.053627,0.034476,0.018726,0.003894,0.024684,0.038494,0.026993,0.020553,0.032245,0.042194,0.021334,0.01495,0.038757,0.04306,0.019725,0.009181,0.010266,0.031471,0.039983,0.029004,0.013666,0.03831,0.039617,0.01913,0.021187,0.048676,0.033892,0.006969,0.00482,0.037006,0.039295,0.029602,0.009604,0.046482,0.036012,0.018626,0.017696,0.057972,0.028162,0.006894,0.053014,0.046666,0.007875,0.003168,0.054611,0.045022,0.008563,0.002527,0.046248,0.052407,0.011286,7.83E-4,0.048969,0.037,0.01278,0.011975,0.051295,0.03781,0.012299,0.00932,0.049356,0.041415,0.017106,0.002847,0.033051,0.041386,0.024165,0.012121,0.036845,0.044372,0.020852,0.008655,0.033334,0.054485,0.017838,0.005067,0.013315,0.028878,0.03335,0.035181,0.018188,0.034573,0.035218,0.022745,0.019205,0.048086,0.034063,0.009369,0.073977,0.016368,0.013283,0.007096,0.074801,0.017413,0.012842,0.005668,0.073926,0.019612,0.014549,0.002636,liked
0.05338,0.037262,0.017739,0.002452,0.057918,0.033003,0.017451,0.002461,0.056167,0.030775,0.019211,0.004681,0.03056,0.034825,0.029561,0.015887,0.032246,0.036897,0.025866,0.015825,0.027673,0.037157,0.025309,0.020694,0.058211,0.036652,0.013383,0.002587,0.06073,0.034091,0.012259,0.003754,0.061014,0.034089,0.012243,0.003488,0.026757,0.04452,0.027927,0.01163,0.036433,0.040104,0.024048,0.010249,0.034765,0.036919,0.024821,0.014329,0.065278,0.025094,0.015363,0.005098,0.065849,0.026088,0.014227,0.00467,0.065202,0.024699,0.014465,0.006467,0.040076,0.032533,0.027247,0.010978,0.045244,0.034362,0.022891,0.008335,0.042727,0.033357,0.023503,0.011246,0.034641,0.044797,0.028828,0.002568,0.038558,0.041543,0.025904,0.004829,0.032649,0.039656,0.02777,0.010758,0.036252,0.034171,0.031656,0.008755,0.040635,0.033184,0.027324,0.009691,0.035948,0.031729,0.025718,0.017439,0.059241,0.016083,0.025979,0.009531,0.05983,0.017583,0.024307,0.009113,0.059527,0.016535,0.020626,0.014145,liked
0.011575,0.027587,0.041047,0.030518,0.020478,0.036042,0.037321,0.016886,0.031799,0.041835,0.02689,0.010203,0.009587,0.028392,0.043611,0.029136,0.01526,0.03786,0.03897,0.018638,0.022169,0.046898,0.030295,0.011365,0.011498,0.023719,0.03701,0.038501,0.018563,0.03384,0.035608,0.022717,0.027907,0.044031,0.025583,0.013207,0.005536,0.021299,0.02817,0.055722,0.008717,0.027368,0.03376,0.040883,0.013443,0.041276,0.033078,0.022931,0.017221,0.022874,0.035471,0.03516,0.023672,0.030453,0.034837,0.021764,0.033987,0.038809,0.023598,0.014334,0.013443,0.023833,0.036583,0.03687,0.020231,0.034525,0.032278,0.023694,0.028603,0.040956,0.028514,0.012654,0.013404,0.025379,0.042504,0.02944,0.02108,0.036193,0.03906,0.014395,0.034589,0.044227,0.022104,0.009807,0.010612,0.02353,0.034007,0.042578,0.016947,0.032641,0.034586,0.026553,0.030002,0.039964,0.022628,0.018133,0.019496,0.025553,0.035047,0.030632,0.027061,0.032727,0.032181,0.018758,0.039855,0.036102,0.023908,0.010862,disliked
